nr_convenio;id_proposta
742993;303404
732467;195681
849325;1161612
723292;89918
931776;1786368
876216;1354961
936385;1811502
853868;1279084
795099;790327
729433;178631
820140;988796
703508;41302
738726;296734
849542;1176498
836792;1093236
980356;2121564
917612;1692946
907637;1609800
728026;13322
783918;717365
840670;1126510
984624;2123349
939414;1827902
940958;1856436
833543;1069114
777147;652374
895653;1425901
773882;598773
770323;595467
935352;1745262
876575;1342457
844899;1165170
816295;943175
909893;1666784
910746;1663664
720136;112092
852176;1163910
928811;1763445
872307;1338676
986980;2147500
701006;8452
953028;1944912
945867;1922413
772374;579481
762956;523770
701405;18576
817659;967243
775256;627938
907698;1613349
888164;1486158
966984;2006076
992469;2114340
863354;1234625
733573;207154
805371;858911
739306;216232
844909;1160948
808858;850107
874939;1368155
743178;245988
706528;108604
744557;312380
839742;1122571
845192;1173337
977157;2090593
967843;2006713
814227;900412
917992;1707079
779083;653394
949779;1936563
830808;1065997
883547;1458077
754058;337710
901086;1539021
791316;751634
766059;501237
753235;355576
731229;178981
817184;986366
820517;986111
783988;727543
910081;1655933
877359;1362805
863518;1288588
935318;1795152
703756;46646
837534;1098149
937872;1823637
804549;860886
972182;2008440
734848;246026
852160;1167041
859563;1283532
884965;1423596
987542;2070768
975087;2069652
905471;1594951
853222;1235555
779948;589216
749436;334391
874170;1365463
807126;850664
931828;1786453
991110;2162451
851706;1247608
889169;1425968
712570;95423
877946;1377877
858200;1271661
891277;1495634
901821;1536282
860967;1259238
900923;1532564
765041;520870
991079;2159141
955948;1967727
975778;2092513
895267;1492821
881683;1406343
862127;1183246
723704;87346
953483;1942380
703925;65023
912433;1654725
731423;117067
753270;316504
839543;1123372
848363;1216781
944084;1895754
959155;1975651
835753;1069683
796471;792589
757378;419522
706241;41392
706003;65294
858288;1203186
916941;1688360
876888;1378984
749784;332695
851369;1252062
772625;589618
941998;1884386
873188;1322423
901265;1537950
841407;1126324
837488;1102260
788376;834962
938811;1826284
944050;1882350
953042;1945357
781949;649625
920077;1667488
735893;248846
776449;500777
885245;1420602
767110;495643
879280;1368682
876892;1378884
722154;143909
800532;819956
884716;1424639
782904;705605
892929;1425245
940139;1829260
806232;857869
700154;3704
957648;1976265
908799;1616755
770838;587564
861593;1283389
745423;295138
978031;2108141
872543;1333251
947556;1910564
868577;1323572
859731;1280839
906934;1608538
993652;2188778
774524;619003
722801;124619
721121;108311
793478;776866
921924;1717406
940552;1857124
850232;1249543
745202;315847
847343;1160790
987432;2152416
930397;1764497
831992;1078071
829121;1063735
939407;1826932
901309;1539097
911206;1676307
871877;1341480
752072;366245
995808;2186446
992334;2170084
924858;1732583
761004;446985
737356;138467
764371;512793
835590;1083832
847851;1163821
851070;1252248
985501;2135931
974948;2063150
889614;1468599
716552;128831
844448;1172835
868193;1348502
766686;499878
824290;1006072
891832;1517205
799394;726566
792412;745642
972039;1992754
970811;2032811
893434;1485979
743366;293717
817095;961369
808077;888040
750253;307976
739253;206058
756626;447018
750966;321907
886455;1424705
933201;1792176
857788;1222912
832231;1068323
919874;1718147
861457;1277098
929147;1764584
802007;868054
939053;1824279
873594;1331038
967909;1965699
875683;1364218
940238;1829257
865984;1331727
805083;859057
878649;1369037
706597;50292
772154;610767
840994;1067398
722579;149927
811689;906123
906218;1600587
702238;22327
837181;1102243
722240;120678
823972;990107
842359;1135149
777100;643606
805510;860678
861084;1259473
756675;436657
843942;1176445
921119;1658857
944764;1904031
911178;1656747
989281;2157896
766536;480957
706478;81375
724595;144933
728789;64431
968714;1986013
903620;1578109
887582;1423137
805111;860916
897991;1545580
910067;1658117
943209;1901402
942863;1857001
723673;137587
798559;740097
884883;1419158
907292;1551542
964144;1968895
790304;741901
956943;1974814
802051;801741
975628;2091334
713170;141299
736261;290953
895242;1470508
982332;2140040
874391;1336810
975143;2067262
846539;1166431
709612;106063
952010;1945980
794465;722092
933810;1792975
741955;308896
762750;504569
751407;150560
715382;88901
947361;1921342
788771;742527
