esfera;modalide;autorida;tipo_instrumento_juridico;numero_emenda;ano_emenda;codigo_siafi;codigo_sigcon_entrada;valor_indicado;valor_repassado;formula;objeto;funcao_governo;orgao_executor
FEDERAL;Emenda Individual;AÉCIO NEVES;Transferência Especial;13490001;2023;9390212;TE - 202313490001 - SEJUSP;150000,0;150000,0;150000,0;Transferência Especial para atender a Associação de Proteção e Assistência aos condenados  - APAC Feminina de Belo Horizonte com aquisição de equipamentos para montagem de uma cozinha industrial;SEGURANCA PUBLICA;SECRETARIA DE ESTADO DE JUSTIÇA E SEGURANÇA PÚBLICA
FEDERAL;Emenda Individual;LAFAYETTE DE ANDRADA;Portaria;40290002;2023;9390580;648/2023;350000,0;350000,0;350000,0;Recursos referentes ao incremento temporário ao custeio dos serviços de Atenção Especializada à Saúde.;SAUDE;FUNDO ESTADUAL DE SAÚDE
FEDERAL;Emenda Individual;PATRUS ANANIAS;Portaria;14080013;2023;9390583;630/2023;1150000,0;38355279,0;38355279,0;Recursos referentes ao incremento temporário ao custeio dos serviços de Atenção Especializada à Saúde.;SAUDE;FUNDO ESTADUAL DE SAÚDE
FEDERAL;Emenda Individual;PAULO ABI-ACKEL;Portaria;24870002;2023;9390583;630/2023;500000,0;38355279,0;0,0;Recursos referentes ao incremento temporário ao custeio dos serviços de Atenção Especializada à Saúde.;SAUDE;FUNDO ESTADUAL DE SAÚDE
FEDERAL;Emenda Individual;DIMAS FABIANO;Portaria;27550003;2023;9390583;630/2023;100000,0;38355279,0;0,0;Recursos referentes ao incremento temporário ao custeio dos serviços de Atenção Especializada à Saúde.;SAUDE;FUNDO ESTADUAL DE SAÚDE
FEDERAL;Emenda Individual;STEFANO AGUIAR;Portaria;29240001;2023;9390583;630/2023;15550511,0;38355279,0;0,0;Recursos referentes ao incremento temporário ao custeio dos serviços de Atenção Especializada à Saúde.;SAUDE;FUNDO ESTADUAL DE SAÚDE
FEDERAL;Emenda Individual;MISAEL VARELLA;Portaria;37310001;2023;9390583;630/2023;19843768,0;38355279,0;0,0;Recursos referentes ao incremento temporário ao custeio dos serviços de Atenção Especializada à Saúde.;SAUDE;FUNDO ESTADUAL DE SAÚDE
FEDERAL;Emenda Individual;NEWTON CARDOSO JR;Portaria;37340005;2023;9390583;630/2023;300000,0;38355279,0;0,0;Recursos referentes ao incremento temporário ao custeio dos serviços de Atenção Especializada à Saúde.;SAUDE;FUNDO ESTADUAL DE SAÚDE
FEDERAL;Emenda Individual;PINHEIRINHO;Portaria;40570002;2023;9390583;630/2023;411000,0;38355279,0;0,0;Recursos referentes ao incremento temporário ao custeio dos serviços de Atenção Especializada à Saúde.;SAUDE;FUNDO ESTADUAL DE SAÚDE
FEDERAL;Emenda Individual;ZÉ VITOR;Portaria;40770003;2023;9390583;630/2023;400000,0;38355279,0;0,0;Recursos referentes ao incremento temporário ao custeio dos serviços de Atenção Especializada à Saúde.;SAUDE;FUNDO ESTADUAL DE SAÚDE
FEDERAL;Emenda Individual;EMIDINHO MADEIRA;Portaria;39760010;2022;9390584;4066/2022;470000,0;470000,0;470000,0;Recursos referentes ao incremento temporário ao custeio dos serviços de Atenção especializada à Saúde.;SAUDE;FUNDO ESTADUAL DE SAÚDE
